Date,Five-year average daily deaths,Five-year average daily deaths
01/08/2018,1190,78
02/08/2018,1184,83
03/08/2018,1172,77
04/08/2018,1142,75
05/08/2018,1179,75
06/08/2018,1191,84
07/08/2018,1194,81
08/08/2018,1184,76
09/08/2018,1157,78
10/08/2018,1176,75
11/08/2018,1186,78
12/08/2018,1193,89
13/08/2018,1182,72
14/08/2018,1194,76
15/08/2018,1218,77
16/08/2018,1165,83
17/08/2018,1178,82
18/08/2018,1185,85
19/08/2018,1172,81
20/08/2018,1156,79
21/08/2018,1203,77
22/08/2018,1234,73
23/08/2018,1229,80
24/08/2018,1187,81
25/08/2018,1178,75
26/08/2018,1208,77
27/08/2018,1203,82
28/08/2018,1184,83
29/08/2018,1202,75
30/08/2018,1186,80
31/08/2018,1151,78
01/09/2018,1122,78
02/09/2018,1177,78
03/09/2018,1160,82
04/09/2018,1186,75
05/09/2018,1209,83
06/09/2018,1200,80
07/09/2018,1172,74
08/09/2018,1172,83
09/09/2018,1186,87
10/09/2018,1186,82
11/09/2018,1183,73
12/09/2018,1188,79
13/09/2018,1236,84
14/09/2018,1203,73
15/09/2018,1211,81
16/09/2018,1235,76
17/09/2018,1203,89
18/09/2018,1233,92
19/09/2018,1195,82
20/09/2018,1223,80
21/09/2018,1228,82
22/09/2018,1241,85
23/09/2018,1215,85
24/09/2018,1233,81
25/09/2018,1243,74
26/09/2018,1227,74
27/09/2018,1241,81
28/09/2018,1254,84
29/09/2018,1272,82
30/09/2018,1271,86
01/10/2018,1254,85
02/10/2018,1269,88
03/10/2018,1267,86
04/10/2018,1238,79
05/10/2018,1257,82
06/10/2018,1249,90
07/10/2018,1256,79
08/10/2018,1267,86
09/10/2018,1269,93
10/10/2018,1253,90
11/10/2018,1290,91
12/10/2018,1262,85
13/10/2018,1300,94
14/10/2018,1286,89
15/10/2018,1305,83
16/10/2018,1298,88
17/10/2018,1289,92
18/10/2018,1336,87
19/10/2018,1308,95
20/10/2018,1298,92
21/10/2018,1296,81
22/10/2018,1289,79
23/10/2018,1301,93
24/10/2018,1296,94
25/10/2018,1302,85
26/10/2018,1300,85
27/10/2018,1301,88
28/10/2018,1330,86
29/10/2018,1314,86
30/10/2018,1291,85
31/10/2018,1328,86
01/11/2018,1294,82
02/11/2018,1255,80
03/11/2018,1323,85
04/11/2018,1330,87
05/11/2018,1302,88
06/11/2018,1295,83
07/11/2018,1324,94
08/11/2018,1342,92
09/11/2018,1333,91
10/11/2018,1323,87
11/11/2018,1373,87
12/11/2018,1367,90
13/11/2018,1308,90
14/11/2018,1374,96
15/11/2018,1345,89
16/11/2018,1368,90
17/11/2018,1316,80
18/11/2018,1341,88
19/11/2018,1317,84
20/11/2018,1307,91
21/11/2018,1364,95
22/11/2018,1393,102
23/11/2018,1335,92
24/11/2018,1348,91
25/11/2018,1364,87
26/11/2018,1343,90
27/11/2018,1402,88
28/11/2018,1361,88
29/11/2018,1398,90
