date,areaType,areaCode,areaName,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
"2021-01-01",nation,E92000001,England,,1238,70
"2020-12-31",nation,E92000001,England,,18611,275
"2020-12-30",nation,E92000001,England,,45040,448
"2020-12-29",nation,E92000001,England,2886,66397,482
"2020-12-28",nation,E92000001,England,2795,39325,467
"2020-12-27",nation,E92000001,England,2572,42104,474
"2020-12-26",nation,E92000001,England,2298,36547,476
"2020-12-25",nation,E92000001,England,1952,12631,446
"2020-12-24",nation,E92000001,England,1795,28625,414
"2020-12-23",nation,E92000001,England,1980,37619,422
"2020-12-22",nation,E92000001,England,2203,40762,438
"2020-12-21",nation,E92000001,England,2115,42531,464
"2020-12-20",nation,E92000001,England,1976,28936,405
"2020-12-19",nation,E92000001,England,1812,21731,382
"2020-12-18",nation,E92000001,England,1672,31821,412
"2020-12-17",nation,E92000001,England,1873,29560,429
"2020-12-16",nation,E92000001,England,1796,30045,351
"2020-12-15",nation,E92000001,England,1730,29085,381
"2020-12-14",nation,E92000001,England,1746,29485,410
"2020-12-13",nation,E92000001,England,1581,18138,359
"2020-12-12",nation,E92000001,England,1587,16026,373
"2020-12-11",nation,E92000001,England,1450,19891,389
"2020-12-10",nation,E92000001,England,1524,18564,379
"2020-12-09",nation,E92000001,England,1550,17505,370
"2020-12-08",nation,E92000001,England,1528,16687,374
"2020-12-07",nation,E92000001,England,1466,17417,352
"2020-12-06",nation,E92000001,England,1311,10897,352
"2020-12-05",nation,E92000001,England,1186,10177,342
"2020-12-04",nation,E92000001,England,1248,12882,409
"2020-12-03",nation,E92000001,England,1337,12522,403
"2020-12-02",nation,E92000001,England,1262,13441,334
"2020-12-01",nation,E92000001,England,1271,13519,348
"2020-11-30",nation,E92000001,England,1216,15027,361
"2020-11-29",nation,E92000001,England,1215,8904,401
"2020-11-28",nation,E92000001,England,1065,9199,378
"2020-11-27",nation,E92000001,England,1055,12275,358
"2020-11-26",nation,E92000001,England,1198,12287,373
"2020-11-25",nation,E92000001,England,1415,13927,422
"2020-11-24",nation,E92000001,England,1277,14039,402
"2020-11-23",nation,E92000001,England,1385,16197,399
"2020-11-22",nation,E92000001,England,1333,10040,406
"2020-11-21",nation,E92000001,England,1255,10609,396
"2020-11-20",nation,E92000001,England,1316,14679,388
"2020-11-19",nation,E92000001,England,1484,15500,397
"2020-11-18",nation,E92000001,England,1571,18209,436
"2020-11-17",nation,E92000001,England,1491,20323,364
"2020-11-16",nation,E92000001,England,1560,23719,359
"2020-11-15",nation,E92000001,England,1467,14218,379
"2020-11-14",nation,E92000001,England,1388,16027,358
"2020-11-13",nation,E92000001,England,1433,21639,358
"2020-11-12",nation,E92000001,England,1666,21933,350
"2020-11-11",nation,E92000001,England,1711,24636,310
"2020-11-10",nation,E92000001,England,1592,24450,318
"2020-11-09",nation,E92000001,England,1551,28078,403
"2020-11-08",nation,E92000001,England,1488,17952,340
"2020-11-07",nation,E92000001,England,1319,16612,330
"2020-11-06",nation,E92000001,England,1182,20808,333
"2020-11-05",nation,E92000001,England,1346,20876,301
"2020-11-04",nation,E92000001,England,1382,20685,278
"2020-11-03",nation,E92000001,England,1246,22302,291
"2020-11-02",nation,E92000001,England,1331,27921,281
"2020-11-01",nation,E92000001,England,1280,13361,285
"2020-10-31",nation,E92000001,England,1240,14353,277
"2020-10-30",nation,E92000001,England,1109,19647,280
"2020-10-29",nation,E92000001,England,1345,19974,249
"2020-10-28",nation,E92000001,England,1239,20234,238
"2020-10-27",nation,E92000001,England,1190,20497,218
"2020-10-26",nation,E92000001,England,1279,22735,222
"2020-10-25",nation,E92000001,England,1186,13159,205
"2020-10-24",nation,E92000001,England,990,13511,171
"2020-10-23",nation,E92000001,England,997,18117,188
"2020-10-22",nation,E92000001,England,987,19608,185
"2020-10-21",nation,E92000001,England,997,21500,192
"2020-10-20",nation,E92000001,England,925,21333,171
"2020-10-19",nation,E92000001,England,861,22079,159
"2020-10-18",nation,E92000001,England,870,11841,120
"2020-10-17",nation,E92000001,England,785,12347,160
"2020-10-16",nation,E92000001,England,632,14530,123
"2020-10-15",nation,E92000001,England,792,15233,124
"2020-10-14",nation,E92000001,England,706,16436,100
"2020-10-13",nation,E92000001,England,764,15440,87
"2020-10-12",nation,E92000001,England,664,16204,96
"2020-10-11",nation,E92000001,England,628,9657,104
"2020-10-10",nation,E92000001,England,515,10157,90
"2020-10-09",nation,E92000001,England,544,13014,67
"2020-10-08",nation,E92000001,England,513,15264,75
"2020-10-07",nation,E92000001,England,491,15196,82
"2020-10-06",nation,E92000001,England,524,14308,61
"2020-10-05",nation,E92000001,England,472,14046,59
"2020-10-04",nation,E92000001,England,478,9829,54
"2020-10-03",nation,E92000001,England,386,9712,55
"2020-10-02",nation,E92000001,England,371,11575,63
"2020-10-01",nation,E92000001,England,368,11300,56
"2020-09-30",nation,E92000001,England,328,10523,48
"2020-09-29",nation,E92000001,England,310,8725,43
"2020-09-28",nation,E92000001,England,308,8582,47
"2020-09-27",nation,E92000001,England,241,6024,42
"2020-09-26",nation,E92000001,England,245,5650,35
"2020-09-25",nation,E92000001,England,274,6042,29
"2020-09-24",nation,E92000001,England,288,6288,33
"2020-09-23",nation,E92000001,England,314,5889,52
"2020-09-22",nation,E92000001,England,268,5368,34
"2020-09-21",nation,E92000001,England,275,4698,24
"2020-09-20",nation,E92000001,England,237,4626,27
"2020-09-19",nation,E92000001,England,204,4185,18
"2020-09-18",nation,E92000001,England,205,4276,21
"2020-09-17",nation,E92000001,England,199,3936,24
"2020-09-16",nation,E92000001,England,183,3744,22
"2020-09-15",nation,E92000001,England,194,3043,15
"2020-09-14",nation,E92000001,England,172,2898,17
"2020-09-13",nation,E92000001,England,153,1710,14
"2020-09-12",nation,E92000001,England,143,2212,18
"2020-09-11",nation,E92000001,England,135,2861,10
"2020-09-10",nation,E92000001,England,143,3099,12
"2020-09-09",nation,E92000001,England,136,2852,9
"2020-09-08",nation,E92000001,England,99,3002,9
"2020-09-07",nation,E92000001,England,84,3466,13
"2020-09-06",nation,E92000001,England,85,2058,8
"2020-09-05",nation,E92000001,England,94,2190,12
"2020-09-04",nation,E92000001,England,67,2589,6
"2020-09-03",nation,E92000001,England,69,2666,6
"2020-09-02",nation,E92000001,England,79,2617,8
"2020-09-01",nation,E92000001,England,58,1929,2
"2020-08-31",nation,E92000001,England,52,1260,7
"2020-08-30",nation,E92000001,England,38,978,6
"2020-08-29",nation,E92000001,England,52,1043,5
"2020-08-28",nation,E92000001,England,44,1384,8
"2020-08-27",nation,E92000001,England,69,1327,8
"2020-08-26",nation,E92000001,England,52,1139,11
"2020-08-25",nation,E92000001,England,60,1060,11
"2020-08-24",nation,E92000001,England,41,1132,5
"2020-08-23",nation,E92000001,England,44,695,13
"2020-08-22",nation,E92000001,England,25,714,6
"2020-08-21",nation,E92000001,England,49,1001,7
"2020-08-20",nation,E92000001,England,45,1221,8
"2020-08-19",nation,E92000001,England,58,1073,2
"2020-08-18",nation,E92000001,England,56,924,7
"2020-08-17",nation,E92000001,England,46,1137,12
"2020-08-16",nation,E92000001,England,39,527,4
"2020-08-15",nation,E92000001,England,38,646,11
"2020-08-14",nation,E92000001,England,55,1039,6
"2020-08-13",nation,E92000001,England,60,1019,7
"2020-08-12",nation,E92000001,England,51,1095,6
"2020-08-11",nation,E92000001,England,63,1210,10
"2020-08-10",nation,E92000001,England,50,1352,11
"2020-08-09",nation,E92000001,England,53,556,8
"2020-08-08",nation,E92000001,England,78,636,11
"2020-08-07",nation,E92000001,England,60,866,7
"2020-08-06",nation,E92000001,England,52,981,9
"2020-08-05",nation,E92000001,England,60,944,3
"2020-08-04",nation,E92000001,England,58,922,10
"2020-08-03",nation,E92000001,England,74,941,14
"2020-08-02",nation,E92000001,England,57,514,8
"2020-08-01",nation,E92000001,England,50,493,9
"2020-07-31",nation,E92000001,England,55,625,10
"2020-07-30",nation,E92000001,England,75,857,8
"2020-07-29",nation,E92000001,England,63,973,8
"2020-07-28",nation,E92000001,England,69,780,10
"2020-07-27",nation,E92000001,England,82,808,10
"2020-07-26",nation,E92000001,England,64,514,14
"2020-07-25",nation,E92000001,England,65,492,13
"2020-07-24",nation,E92000001,England,93,720,6
"2020-07-23",nation,E92000001,England,109,732,16
"2020-07-22",nation,E92000001,England,82,750,16
"2020-07-21",nation,E92000001,England,79,692,19
"2020-07-20",nation,E92000001,England,86,751,12
"2020-07-19",nation,E92000001,England,72,413,14
"2020-07-18",nation,E92000001,England,48,466,14
"2020-07-17",nation,E92000001,England,83,549,18
"2020-07-16",nation,E92000001,England,114,639,12
"2020-07-15",nation,E92000001,England,116,723,20
"2020-07-14",nation,E92000001,England,122,651,20
"2020-07-13",nation,E92000001,England,137,690,22
"2020-07-12",nation,E92000001,England,72,353,12
"2020-07-11",nation,E92000001,England,97,424,21
"2020-07-10",nation,E92000001,England,104,522,21
"2020-07-09",nation,E92000001,England,136,680,35
"2020-07-08",nation,E92000001,England,141,671,23
"2020-07-07",nation,E92000001,England,148,558,26
"2020-07-06",nation,E92000001,England,150,659,33
"2020-07-05",nation,E92000001,England,131,539,24
"2020-07-04",nation,E92000001,England,120,386,31
"2020-07-03",nation,E92000001,England,146,543,26
"2020-07-02",nation,E92000001,England,149,564,40
"2020-07-01",nation,E92000001,England,201,612,22
"2020-06-30",nation,E92000001,England,189,572,43
"2020-06-29",nation,E92000001,England,172,664,34
"2020-06-28",nation,E92000001,England,155,409,42
"2020-06-27",nation,E92000001,England,209,505,39
"2020-06-26",nation,E92000001,England,248,643,38
"2020-06-25",nation,E92000001,England,256,637,57
"2020-06-24",nation,E92000001,England,262,728,68
"2020-06-23",nation,E92000001,England,275,730,61
"2020-06-22",nation,E92000001,England,318,815,58
"2020-06-21",nation,E92000001,England,215,550,47
"2020-06-20",nation,E92000001,England,184,633,54
"2020-06-19",nation,E92000001,England,253,821,47
"2020-06-18",nation,E92000001,England,312,944,57
"2020-06-17",nation,E92000001,England,334,911,53
"2020-06-16",nation,E92000001,England,354,992,69
"2020-06-15",nation,E92000001,England,365,936,61
"2020-06-14",nation,E92000001,England,306,744,76
"2020-06-13",nation,E92000001,England,265,791,52
"2020-06-12",nation,E92000001,England,298,943,72
"2020-06-11",nation,E92000001,England,330,915,71
"2020-06-10",nation,E92000001,England,402,1079,97
"2020-06-09",nation,E92000001,England,397,1057,85
"2020-06-08",nation,E92000001,England,348,994,111
"2020-06-07",nation,E92000001,England,323,666,112
"2020-06-06",nation,E92000001,England,306,726,99
"2020-06-05",nation,E92000001,England,380,1022,108
"2020-06-04",nation,E92000001,England,458,1149,120
"2020-06-03",nation,E92000001,England,491,1244,138
"2020-06-02",nation,E92000001,England,553,1351,156
"2020-06-01",nation,E92000001,England,522,1315,122
"2020-05-31",nation,E92000001,England,446,985,112
"2020-05-30",nation,E92000001,England,466,997,145
"2020-05-29",nation,E92000001,England,499,1370,163
"2020-05-28",nation,E92000001,England,570,1572,182
"2020-05-27",nation,E92000001,England,589,1613,170
"2020-05-26",nation,E92000001,England,578,1455,187
"2020-05-25",nation,E92000001,England,498,1376,176
"2020-05-24",nation,E92000001,England,497,1199,169
"2020-05-23",nation,E92000001,England,504,1301,198
"2020-05-22",nation,E92000001,England,638,1798,195
"2020-05-21",nation,E92000001,England,715,2270,201
"2020-05-20",nation,E92000001,England,732,2343,234
"2020-05-19",nation,E92000001,England,752,2585,231
"2020-05-18",nation,E92000001,England,733,2208,253
"2020-05-17",nation,E92000001,England,673,1586,222
"2020-05-16",nation,E92000001,England,671,1771,268
"2020-05-15",nation,E92000001,England,738,2131,269
"2020-05-14",nation,E92000001,England,763,2209,277
"2020-05-13",nation,E92000001,England,804,2882,255
"2020-05-12",nation,E92000001,England,844,2923,275
"2020-05-11",nation,E92000001,England,866,3056,260
"2020-05-10",nation,E92000001,England,756,2006,300
"2020-05-09",nation,E92000001,England,798,1794,330
"2020-05-08",nation,E92000001,England,743,2617,328
"2020-05-07",nation,E92000001,England,998,3202,399
"2020-05-06",nation,E92000001,England,1040,3267,392
"2020-05-05",nation,E92000001,England,959,3140,390
"2020-05-04",nation,E92000001,England,1063,2844,411
"2020-05-03",nation,E92000001,England,1044,2630,388
"2020-05-02",nation,E92000001,England,980,2740,423
"2020-05-01",nation,E92000001,England,1081,4091,478
"2020-04-30",nation,E92000001,England,1227,4309,482
"2020-04-29",nation,E92000001,England,1295,4737,492
"2020-04-28",nation,E92000001,England,1296,4115,499
"2020-04-27",nation,E92000001,England,1344,4026,506
"2020-04-26",nation,E92000001,England,1208,3133,559
"2020-04-25",nation,E92000001,England,1080,3371,554
"2020-04-24",nation,E92000001,England,1277,4355,602
"2020-04-23",nation,E92000001,England,1289,4554,592
"2020-04-22",nation,E92000001,England,1310,4793,642
"2020-04-21",nation,E92000001,England,1495,3969,649
"2020-04-20",nation,E92000001,England,1522,3676,684
"2020-04-19",nation,E92000001,England,1475,3466,683
"2020-04-18",nation,E92000001,England,1411,4111,706
"2020-04-17",nation,E92000001,England,1674,4068,744
"2020-04-16",nation,E92000001,England,1777,4356,751
"2020-04-15",nation,E92000001,England,1608,4221,784
"2020-04-14",nation,E92000001,England,1859,3540,771
"2020-04-13",nation,E92000001,England,1912,3439,804
"2020-04-12",nation,E92000001,England,1791,2942,858
"2020-04-11",nation,E92000001,England,1955,3067,861
"2020-04-10",nation,E92000001,England,2196,3576,851
"2020-04-09",nation,E92000001,England,2340,4060,874
"2020-04-08",nation,E92000001,England,2619,4288,975
"2020-04-07",nation,E92000001,England,2744,4573,912
"2020-04-06",nation,E92000001,England,2679,4375,804
"2020-04-05",nation,E92000001,England,2592,3080,829
"2020-04-04",nation,E92000001,England,2593,3380,837
"2020-04-03",nation,E92000001,England,2564,4107,743
"2020-04-02",nation,E92000001,England,2932,4068,731
"2020-04-01",nation,E92000001,England,3099,4093,698
"2020-03-31",nation,E92000001,England,2447,3783,603
"2020-03-30",nation,E92000001,England,2817,3521,538
"2020-03-29",nation,E92000001,England,2186,2438,465
"2020-03-28",nation,E92000001,England,1873,2371,384
"2020-03-27",nation,E92000001,England,1931,2655,375
"2020-03-26",nation,E92000001,England,1639,2611,336
"2020-03-25",nation,E92000001,England,1755,2257,278
"2020-03-24",nation,E92000001,England,1544,2023,219
"2020-03-23",nation,E92000001,England,1128,2013,173
"2020-03-22",nation,E92000001,England,859,1210,154
"2020-03-21",nation,E92000001,England,777,1031,117
"2020-03-20",nation,E92000001,England,691,1083,102
