date,areaType,areaCode,areaName,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
"2020-12-22",nation,N92000002,Northern Ireland,15,543,10
"2020-12-21",nation,N92000002,Northern Ireland,42,712,17
"2020-12-20",nation,N92000002,Northern Ireland,27,514,12
"2020-12-19",nation,N92000002,Northern Ireland,30,502,15
"2020-12-18",nation,N92000002,Northern Ireland,39,567,10
"2020-12-17",nation,N92000002,Northern Ireland,38,629,14
"2020-12-16",nation,N92000002,Northern Ireland,39,639,13
"2020-12-15",nation,N92000002,Northern Ireland,42,549,6
"2020-12-14",nation,N92000002,Northern Ireland,48,577,5
"2020-12-13",nation,N92000002,Northern Ireland,35,414,5
"2020-12-12",nation,N92000002,Northern Ireland,39,369,6
"2020-12-11",nation,N92000002,Northern Ireland,24,529,9
"2020-12-10",nation,N92000002,Northern Ireland,28,518,13
"2020-12-09",nation,N92000002,Northern Ireland,28,459,9
"2020-12-08",nation,N92000002,Northern Ireland,51,478,7
"2020-12-07",nation,N92000002,Northern Ireland,36,477,17
"2020-12-06",nation,N92000002,Northern Ireland,31,373,11
"2020-12-05",nation,N92000002,Northern Ireland,33,402,12
"2020-12-04",nation,N92000002,Northern Ireland,36,438,7
"2020-12-03",nation,N92000002,Northern Ireland,37,501,6
"2020-12-02",nation,N92000002,Northern Ireland,36,415,8
"2020-12-01",nation,N92000002,Northern Ireland,34,403,8
"2020-11-30",nation,N92000002,Northern Ireland,38,512,12
"2020-11-29",nation,N92000002,Northern Ireland,29,259,8
"2020-11-28",nation,N92000002,Northern Ireland,27,345,11
"2020-11-27",nation,N92000002,Northern Ireland,42,331,11
"2020-11-26",nation,N92000002,Northern Ireland,29,343,8
"2020-11-25",nation,N92000002,Northern Ireland,42,421,10
"2020-11-24",nation,N92000002,Northern Ireland,39,344,7
"2020-11-23",nation,N92000002,Northern Ireland,24,378,8
"2020-11-22",nation,N92000002,Northern Ireland,28,277,6
"2020-11-21",nation,N92000002,Northern Ireland,34,296,7
"2020-11-20",nation,N92000002,Northern Ireland,43,374,13
"2020-11-19",nation,N92000002,Northern Ireland,38,350,13
"2020-11-18",nation,N92000002,Northern Ireland,39,439,10
"2020-11-17",nation,N92000002,Northern Ireland,43,574,11
"2020-11-16",nation,N92000002,Northern Ireland,46,584,9
"2020-11-15",nation,N92000002,Northern Ireland,44,374,13
"2020-11-14",nation,N92000002,Northern Ireland,40,423,13
"2020-11-13",nation,N92000002,Northern Ireland,34,476,11
"2020-11-12",nation,N92000002,Northern Ireland,34,551,10
"2020-11-11",nation,N92000002,Northern Ireland,48,611,13
"2020-11-10",nation,N92000002,Northern Ireland,51,703,8
"2020-11-09",nation,N92000002,Northern Ireland,49,654,10
"2020-11-08",nation,N92000002,Northern Ireland,47,424,10
"2020-11-07",nation,N92000002,Northern Ireland,41,459,7
"2020-11-06",nation,N92000002,Northern Ireland,54,487,15
"2020-11-05",nation,N92000002,Northern Ireland,39,566,7
"2020-11-04",nation,N92000002,Northern Ireland,53,596,10
"2020-11-03",nation,N92000002,Northern Ireland,58,660,12
"2020-11-02",nation,N92000002,Northern Ireland,55,703,5
"2020-11-01",nation,N92000002,Northern Ireland,36,466,10
"2020-10-31",nation,N92000002,Northern Ireland,37,520,7
"2020-10-30",nation,N92000002,Northern Ireland,48,691,9
"2020-10-29",nation,N92000002,Northern Ireland,56,695,14
"2020-10-28",nation,N92000002,Northern Ireland,40,758,9
"2020-10-27",nation,N92000002,Northern Ireland,55,824,10
"2020-10-26",nation,N92000002,Northern Ireland,47,895,11
"2020-10-25",nation,N92000002,Northern Ireland,46,684,6
"2020-10-24",nation,N92000002,Northern Ireland,53,746,8
"2020-10-23",nation,N92000002,Northern Ireland,47,888,6
"2020-10-22",nation,N92000002,Northern Ireland,53,1082,4
"2020-10-21",nation,N92000002,Northern Ireland,42,1115,6
"2020-10-20",nation,N92000002,Northern Ireland,52,1069,3
"2020-10-19",nation,N92000002,Northern Ireland,44,1043,4
"2020-10-18",nation,N92000002,Northern Ireland,45,794,7
"2020-10-17",nation,N92000002,Northern Ireland,46,845,3
"2020-10-16",nation,N92000002,Northern Ireland,48,977,2
"2020-10-15",nation,N92000002,Northern Ireland,46,1111,4
"2020-10-14",nation,N92000002,Northern Ireland,37,1065,2
"2020-10-13",nation,N92000002,Northern Ireland,43,1088,4
"2020-10-12",nation,N92000002,Northern Ireland,31,1111,5
"2020-10-11",nation,N92000002,Northern Ireland,37,834,6
"2020-10-10",nation,N92000002,Northern Ireland,31,802,0
"2020-10-09",nation,N92000002,Northern Ireland,23,846,0
"2020-10-08",nation,N92000002,Northern Ireland,28,987,0
"2020-10-07",nation,N92000002,Northern Ireland,30,1038,1
"2020-10-06",nation,N92000002,Northern Ireland,27,806,1
"2020-10-05",nation,N92000002,Northern Ireland,24,712,1
"2020-10-04",nation,N92000002,Northern Ireland,17,615,0
"2020-10-03",nation,N92000002,Northern Ireland,23,625,1
"2020-10-02",nation,N92000002,Northern Ireland,9,698,2
"2020-10-01",nation,N92000002,Northern Ireland,15,483,1
"2020-09-30",nation,N92000002,Northern Ireland,16,644,1
"2020-09-29",nation,N92000002,Northern Ireland,9,395,0
"2020-09-28",nation,N92000002,Northern Ireland,21,298,1
"2020-09-27",nation,N92000002,Northern Ireland,12,273,0
"2020-09-26",nation,N92000002,Northern Ireland,11,270,0
"2020-09-25",nation,N92000002,Northern Ireland,6,244,1
"2020-09-24",nation,N92000002,Northern Ireland,8,285,0
"2020-09-23",nation,N92000002,Northern Ireland,13,219,0
"2020-09-22",nation,N92000002,Northern Ireland,8,170,0
"2020-09-21",nation,N92000002,Northern Ireland,11,135,0
"2020-09-20",nation,N92000002,Northern Ireland,6,124,0
"2020-09-19",nation,N92000002,Northern Ireland,3,161,2
"2020-09-18",nation,N92000002,Northern Ireland,2,168,1
"2020-09-17",nation,N92000002,Northern Ireland,4,169,0
"2020-09-16",nation,N92000002,Northern Ireland,3,134,2
"2020-09-15",nation,N92000002,Northern Ireland,4,107,1
"2020-09-14",nation,N92000002,Northern Ireland,8,120,1
"2020-09-13",nation,N92000002,Northern Ireland,5,91,0
"2020-09-12",nation,N92000002,Northern Ireland,4,107,0
"2020-09-11",nation,N92000002,Northern Ireland,7,73,2
"2020-09-10",nation,N92000002,Northern Ireland,7,79,1
"2020-09-09",nation,N92000002,Northern Ireland,2,98,0
"2020-09-08",nation,N92000002,Northern Ireland,9,56,0
"2020-09-07",nation,N92000002,Northern Ireland,1,72,2
"2020-09-06",nation,N92000002,Northern Ireland,4,106,0
"2020-09-05",nation,N92000002,Northern Ireland,1,90,1
"2020-09-04",nation,N92000002,Northern Ireland,2,130,0
"2020-09-03",nation,N92000002,Northern Ireland,3,106,2
"2020-09-02",nation,N92000002,Northern Ireland,0,91,0
"2020-09-01",nation,N92000002,Northern Ireland,4,65,1
"2020-08-31",nation,N92000002,Northern Ireland,5,54,0
"2020-08-30",nation,N92000002,Northern Ireland,3,35,0
"2020-08-29",nation,N92000002,Northern Ireland,2,43,0
"2020-08-28",nation,N92000002,Northern Ireland,5,86,1
"2020-08-27",nation,N92000002,Northern Ireland,4,79,0
"2020-08-26",nation,N92000002,Northern Ireland,0,71,0
"2020-08-25",nation,N92000002,Northern Ireland,2,65,1
"2020-08-24",nation,N92000002,Northern Ireland,6,45,0
"2020-08-23",nation,N92000002,Northern Ireland,3,52,0
"2020-08-22",nation,N92000002,Northern Ireland,3,42,0
"2020-08-21",nation,N92000002,Northern Ireland,2,80,0
"2020-08-20",nation,N92000002,Northern Ireland,6,71,0
"2020-08-19",nation,N92000002,Northern Ireland,6,41,0
"2020-08-18",nation,N92000002,Northern Ireland,6,43,0
"2020-08-17",nation,N92000002,Northern Ireland,6,53,0
"2020-08-16",nation,N92000002,Northern Ireland,2,20,0
"2020-08-15",nation,N92000002,Northern Ireland,2,22,1
"2020-08-14",nation,N92000002,Northern Ireland,2,57,0
"2020-08-13",nation,N92000002,Northern Ireland,3,51,1
"2020-08-12",nation,N92000002,Northern Ireland,3,40,0
"2020-08-11",nation,N92000002,Northern Ireland,2,38,0
"2020-08-10",nation,N92000002,Northern Ireland,0,44,0
"2020-08-09",nation,N92000002,Northern Ireland,2,25,0
"2020-08-08",nation,N92000002,Northern Ireland,5,28,1
"2020-08-07",nation,N92000002,Northern Ireland,0,16,0
"2020-08-06",nation,N92000002,Northern Ireland,3,18,0
"2020-08-05",nation,N92000002,Northern Ireland,1,29,0
"2020-08-04",nation,N92000002,Northern Ireland,1,18,0
"2020-08-03",nation,N92000002,Northern Ireland,3,18,0
"2020-08-02",nation,N92000002,Northern Ireland,1,9,0
"2020-08-01",nation,N92000002,Northern Ireland,3,10,0
"2020-07-31",nation,N92000002,Northern Ireland,1,13,0
"2020-07-30",nation,N92000002,Northern Ireland,1,10,0
"2020-07-29",nation,N92000002,Northern Ireland,2,11,0
"2020-07-28",nation,N92000002,Northern Ireland,1,13,0
"2020-07-27",nation,N92000002,Northern Ireland,2,12,0
"2020-07-26",nation,N92000002,Northern Ireland,0,1,0
