date,areaType,areaCode,areaName,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
"2020-12-30",nation,S92000003,Scotland,,470,0
"2020-12-29",nation,S92000003,Scotland,,2907,5
"2020-12-28",nation,S92000003,Scotland,,1777,16
"2020-12-27",nation,S92000003,Scotland,,1682,13
"2020-12-26",nation,S92000003,Scotland,,1056,18
"2020-12-25",nation,S92000003,Scotland,,520,22
"2020-12-24",nation,S92000003,Scotland,,1020,23
"2020-12-23",nation,S92000003,Scotland,,1323,28
"2020-12-22",nation,S92000003,Scotland,70,1332,26
"2020-12-21",nation,S92000003,Scotland,78,1323,23
"2020-12-20",nation,S92000003,Scotland,57,824,28
"2020-12-19",nation,S92000003,Scotland,66,756,25
"2020-12-18",nation,S92000003,Scotland,66,930,23
"2020-12-17",nation,S92000003,Scotland,72,914,34
"2020-12-16",nation,S92000003,Scotland,80,1045,31
"2020-12-15",nation,S92000003,Scotland,58,1037,31
"2020-12-14",nation,S92000003,Scotland,80,1102,31
"2020-12-13",nation,S92000003,Scotland,54,722,26
"2020-12-12",nation,S92000003,Scotland,59,682,23
"2020-12-11",nation,S92000003,Scotland,74,871,20
"2020-12-10",nation,S92000003,Scotland,79,896,22
"2020-12-09",nation,S92000003,Scotland,83,998,23
"2020-12-08",nation,S92000003,Scotland,86,1041,27
"2020-12-07",nation,S92000003,Scotland,75,953,29
"2020-12-06",nation,S92000003,Scotland,58,645,28
"2020-12-05",nation,S92000003,Scotland,72,664,19
"2020-12-04",nation,S92000003,Scotland,74,646,28
"2020-12-03",nation,S92000003,Scotland,64,807,34
"2020-12-02",nation,S92000003,Scotland,94,947,19
"2020-12-01",nation,S92000003,Scotland,71,923,27
"2020-11-30",nation,S92000003,Scotland,80,973,31
"2020-11-29",nation,S92000003,Scotland,63,553,26
"2020-11-28",nation,S92000003,Scotland,56,572,39
"2020-11-27",nation,S92000003,Scotland,84,737,22
"2020-11-26",nation,S92000003,Scotland,87,802,23
"2020-11-25",nation,S92000003,Scotland,77,929,32
"2020-11-24",nation,S92000003,Scotland,99,990,29
"2020-11-23",nation,S92000003,Scotland,102,1159,30
"2020-11-22",nation,S92000003,Scotland,63,706,36
"2020-11-21",nation,S92000003,Scotland,86,763,33
"2020-11-20",nation,S92000003,Scotland,99,864,29
"2020-11-19",nation,S92000003,Scotland,86,981,26
"2020-11-18",nation,S92000003,Scotland,89,1115,22
"2020-11-17",nation,S92000003,Scotland,101,1225,36
"2020-11-16",nation,S92000003,Scotland,87,1275,32
"2020-11-15",nation,S92000003,Scotland,85,812,33
"2020-11-14",nation,S92000003,Scotland,94,919,38
"2020-11-13",nation,S92000003,Scotland,105,1062,35
"2020-11-12",nation,S92000003,Scotland,106,1196,31
"2020-11-11",nation,S92000003,Scotland,109,1250,35
"2020-11-10",nation,S92000003,Scotland,100,1290,33
"2020-11-09",nation,S92000003,Scotland,91,1295,38
"2020-11-08",nation,S92000003,Scotland,73,878,35
"2020-11-07",nation,S92000003,Scotland,83,844,35
"2020-11-06",nation,S92000003,Scotland,94,1141,26
"2020-11-05",nation,S92000003,Scotland,95,1294,37
"2020-11-04",nation,S92000003,Scotland,110,1303,19
"2020-11-03",nation,S92000003,Scotland,102,1392,33
"2020-11-02",nation,S92000003,Scotland,103,1478,27
"2020-11-01",nation,S92000003,Scotland,91,974,34
"2020-10-31",nation,S92000003,Scotland,100,745,24
"2020-10-30",nation,S92000003,Scotland,118,1106,35
"2020-10-29",nation,S92000003,Scotland,95,1098,26
"2020-10-28",nation,S92000003,Scotland,120,1268,25
"2020-10-27",nation,S92000003,Scotland,128,1308,15
"2020-10-26",nation,S92000003,Scotland,127,1345,29
"2020-10-25",nation,S92000003,Scotland,107,939,21
"2020-10-24",nation,S92000003,Scotland,113,954,19
"2020-10-23",nation,S92000003,Scotland,120,1287,17
"2020-10-22",nation,S92000003,Scotland,126,1503,17
"2020-10-21",nation,S92000003,Scotland,127,1580,11
"2020-10-20",nation,S92000003,Scotland,128,1684,16
"2020-10-19",nation,S92000003,Scotland,124,1355,15
"2020-10-18",nation,S92000003,Scotland,83,828,21
"2020-10-17",nation,S92000003,Scotland,81,862,9
"2020-10-16",nation,S92000003,Scotland,123,1251,16
"2020-10-15",nation,S92000003,Scotland,102,1294,16
"2020-10-14",nation,S92000003,Scotland,113,1290,6
"2020-10-13",nation,S92000003,Scotland,115,1423,11
"2020-10-12",nation,S92000003,Scotland,99,1361,7
"2020-10-11",nation,S92000003,Scotland,77,959,9
"2020-10-10",nation,S92000003,Scotland,68,942,10
"2020-10-09",nation,S92000003,Scotland,75,1096,6
"2020-10-08",nation,S92000003,Scotland,90,1171,11
"2020-10-07",nation,S92000003,Scotland,76,1250,8
"2020-10-06",nation,S92000003,Scotland,90,1192,3
"2020-10-05",nation,S92000003,Scotland,70,1099,0
"2020-10-04",nation,S92000003,Scotland,40,744,3
"2020-10-03",nation,S92000003,Scotland,44,702,2
"2020-10-02",nation,S92000003,Scotland,51,818,1
"2020-10-01",nation,S92000003,Scotland,59,777,4
"2020-09-30",nation,S92000003,Scotland,45,793,4
"2020-09-29",nation,S92000003,Scotland,31,661,1
"2020-09-28",nation,S92000003,Scotland,42,625,3
"2020-09-27",nation,S92000003,Scotland,31,359,2
"2020-09-26",nation,S92000003,Scotland,34,437,2
"2020-09-25",nation,S92000003,Scotland,34,576,1
"2020-09-24",nation,S92000003,Scotland,30,716,2
"2020-09-23",nation,S92000003,Scotland,22,572,1
"2020-09-22",nation,S92000003,Scotland,30,497,2
"2020-09-21",nation,S92000003,Scotland,23,454,2
"2020-09-20",nation,S92000003,Scotland,17,320,3
"2020-09-19",nation,S92000003,Scotland,18,236,0
"2020-09-18",nation,S92000003,Scotland,11,270,1
"2020-09-17",nation,S92000003,Scotland,16,265,1
"2020-09-16",nation,S92000003,Scotland,33,280,0
"2020-09-15",nation,S92000003,Scotland,19,238,0
"2020-09-14",nation,S92000003,Scotland,17,186,3
"2020-09-13",nation,S92000003,Scotland,12,178,1
"2020-09-12",nation,S92000003,Scotland,13,214,0
"2020-09-11",nation,S92000003,Scotland,17,216,0
"2020-09-10",nation,S92000003,Scotland,18,231,0
"2020-09-09",nation,S92000003,Scotland,6,223,0
"2020-09-08",nation,S92000003,Scotland,9,103,0
"2020-09-07",nation,S92000003,Scotland,11,167,0
"2020-09-06",nation,S92000003,Scotland,7,154,0
"2020-09-05",nation,S92000003,Scotland,8,137,0
