date,areaType,areaCode,areaName,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
"2020-12-31",nation,W92000004,Wales,,5,1
"2020-12-30",nation,W92000004,Wales,,403,18
"2020-12-29",nation,W92000004,Wales,136,2872,30
"2020-12-28",nation,W92000004,Wales,125,2211,41
"2020-12-27",nation,W92000004,Wales,97,2443,24
"2020-12-26",nation,W92000004,Wales,73,1889,36
"2020-12-25",nation,W92000004,Wales,106,641,28
"2020-12-24",nation,W92000004,Wales,146,1470,41
"2020-12-23",nation,W92000004,Wales,143,2442,31
"2020-12-22",nation,W92000004,Wales,124,2706,34
"2020-12-21",nation,W92000004,Wales,92,2744,35
"2020-12-20",nation,W92000004,Wales,90,2205,34
"2020-12-19",nation,W92000004,Wales,107,2170,33
"2020-12-18",nation,W92000004,Wales,119,2537,45
"2020-12-17",nation,W92000004,Wales,128,2776,47
"2020-12-16",nation,W92000004,Wales,131,3142,34
"2020-12-15",nation,W92000004,Wales,88,3181,31
"2020-12-14",nation,W92000004,Wales,67,3539,29
"2020-12-13",nation,W92000004,Wales,64,2734,22
"2020-12-12",nation,W92000004,Wales,102,2285,33
"2020-12-11",nation,W92000004,Wales,117,2812,26
"2020-12-10",nation,W92000004,Wales,105,2664,32
"2020-12-09",nation,W92000004,Wales,76,2692,25
"2020-12-08",nation,W92000004,Wales,98,2602,26
"2020-12-07",nation,W92000004,Wales,63,2511,20
"2020-12-06",nation,W92000004,Wales,62,1697,25
"2020-12-05",nation,W92000004,Wales,81,1533,20
"2020-12-04",nation,W92000004,Wales,58,1698,26
"2020-12-03",nation,W92000004,Wales,50,1807,27
"2020-12-02",nation,W92000004,Wales,84,1643,22
"2020-12-01",nation,W92000004,Wales,102,1611,18
"2020-11-30",nation,W92000004,Wales,62,1505,17
"2020-11-29",nation,W92000004,Wales,73,966,24
"2020-11-28",nation,W92000004,Wales,66,844,32
"2020-11-27",nation,W92000004,Wales,86,1035,26
"2020-11-26",nation,W92000004,Wales,93,1159,30
"2020-11-25",nation,W92000004,Wales,70,1338,17
"2020-11-24",nation,W92000004,Wales,78,1093,18
"2020-11-23",nation,W92000004,Wales,71,1031,25
"2020-11-22",nation,W92000004,Wales,62,717,27
"2020-11-21",nation,W92000004,Wales,84,680,25
"2020-11-20",nation,W92000004,Wales,77,936,21
"2020-11-19",nation,W92000004,Wales,67,920,25
"2020-11-18",nation,W92000004,Wales,80,987,18
"2020-11-17",nation,W92000004,Wales,72,1040,29
"2020-11-16",nation,W92000004,Wales,71,993,23
"2020-11-15",nation,W92000004,Wales,69,628,25
"2020-11-14",nation,W92000004,Wales,89,628,19
"2020-11-13",nation,W92000004,Wales,74,859,30
"2020-11-12",nation,W92000004,Wales,100,772,27
"2020-11-11",nation,W92000004,Wales,95,855,29
"2020-11-10",nation,W92000004,Wales,104,963,28
"2020-11-09",nation,W92000004,Wales,64,1011,29
"2020-11-08",nation,W92000004,Wales,75,696,29
"2020-11-07",nation,W92000004,Wales,112,605,15
"2020-11-06",nation,W92000004,Wales,82,877,26
"2020-11-05",nation,W92000004,Wales,102,1017,31
"2020-11-04",nation,W92000004,Wales,129,1094,22
"2020-11-03",nation,W92000004,Wales,104,1234,23
"2020-11-02",nation,W92000004,Wales,75,1410,17
"2020-11-01",nation,W92000004,Wales,76,948,27
"2020-10-31",nation,W92000004,Wales,80,879,12
"2020-10-30",nation,W92000004,Wales,97,1241,14
"2020-10-29",nation,W92000004,Wales,86,1583,21
"2020-10-28",nation,W92000004,Wales,83,1357,11
"2020-10-27",nation,W92000004,Wales,114,1478,23
"2020-10-26",nation,W92000004,Wales,76,1556,15
"2020-10-25",nation,W92000004,Wales,78,940,16
"2020-10-24",nation,W92000004,Wales,98,1025,15
"2020-10-23",nation,W92000004,Wales,123,1197,11
"2020-10-22",nation,W92000004,Wales,107,1056,28
"2020-10-21",nation,W92000004,Wales,92,1266,13
"2020-10-20",nation,W92000004,Wales,77,1237,4
"2020-10-19",nation,W92000004,Wales,60,1111,13
"2020-10-18",nation,W92000004,Wales,88,716,11
"2020-10-17",nation,W92000004,Wales,112,708,4
"2020-10-16",nation,W92000004,Wales,105,952,6
"2020-10-15",nation,W92000004,Wales,102,791,7
"2020-10-14",nation,W92000004,Wales,123,904,7
"2020-10-13",nation,W92000004,Wales,98,952,8
"2020-10-12",nation,W92000004,Wales,86,782,4
"2020-10-11",nation,W92000004,Wales,79,626,4
"2020-10-10",nation,W92000004,Wales,103,619,3
"2020-10-09",nation,W92000004,Wales,60,782,6
"2020-10-08",nation,W92000004,Wales,76,827,6
"2020-10-07",nation,W92000004,Wales,85,851,11
"2020-10-06",nation,W92000004,Wales,80,771,4
"2020-10-05",nation,W92000004,Wales,59,703,10
"2020-10-04",nation,W92000004,Wales,92,614,3
"2020-10-03",nation,W92000004,Wales,79,518,8
"2020-10-02",nation,W92000004,Wales,94,601,2
"2020-10-01",nation,W92000004,Wales,79,627,5
"2020-09-30",nation,W92000004,Wales,61,601,4
"2020-09-29",nation,W92000004,Wales,90,466,4
"2020-09-28",nation,W92000004,Wales,71,426,3
"2020-09-27",nation,W92000004,Wales,56,317,3
"2020-09-26",nation,W92000004,Wales,61,403,2
"2020-09-25",nation,W92000004,Wales,67,385,1
"2020-09-24",nation,W92000004,Wales,94,316,0
"2020-09-23",nation,W92000004,Wales,70,378,3
"2020-09-22",nation,W92000004,Wales,43,379,3
"2020-09-21",nation,W92000004,Wales,59,313,1
"2020-09-20",nation,W92000004,Wales,28,252,1
"2020-09-19",nation,W92000004,Wales,34,280,0
"2020-09-18",nation,W92000004,Wales,41,246,0
"2020-09-17",nation,W92000004,Wales,42,261,2
"2020-09-16",nation,W92000004,Wales,65,207,2
"2020-09-15",nation,W92000004,Wales,53,164,2
"2020-09-14",nation,W92000004,Wales,59,191,0
"2020-09-13",nation,W92000004,Wales,55,164,1
"2020-09-12",nation,W92000004,Wales,55,140,0
"2020-09-11",nation,W92000004,Wales,70,145,1
"2020-09-10",nation,W92000004,Wales,49,186,0
"2020-09-09",nation,W92000004,Wales,56,158,0
"2020-09-08",nation,W92000004,Wales,65,143,0
"2020-09-07",nation,W92000004,Wales,46,159,0
"2020-09-06",nation,W92000004,Wales,42,131,0
"2020-09-05",nation,W92000004,Wales,27,128,0
"2020-09-04",nation,W92000004,Wales,69,149,0
"2020-09-03",nation,W92000004,Wales,70,125,1
"2020-09-02",nation,W92000004,Wales,59,95,0
"2020-09-01",nation,W92000004,Wales,69,57,0
"2020-08-31",nation,W92000004,Wales,29,44,2
"2020-08-30",nation,W92000004,Wales,33,46,0
"2020-08-29",nation,W92000004,Wales,52,44,0
"2020-08-28",nation,W92000004,Wales,83,52,0
"2020-08-27",nation,W92000004,Wales,70,50,0
"2020-08-26",nation,W92000004,Wales,69,44,0
"2020-08-25",nation,W92000004,Wales,49,50,0
"2020-08-24",nation,W92000004,Wales,36,36,1
"2020-08-23",nation,W92000004,Wales,26,11,0
"2020-08-22",nation,W92000004,Wales,39,19,1
"2020-08-21",nation,W92000004,Wales,54,22,0
"2020-08-20",nation,W92000004,Wales,39,31,0
"2020-08-19",nation,W92000004,Wales,45,35,0
"2020-08-18",nation,W92000004,Wales,63,38,2
"2020-08-17",nation,W92000004,Wales,38,19,0
"2020-08-16",nation,W92000004,Wales,37,18,0
"2020-08-15",nation,W92000004,Wales,52,10,0
"2020-08-14",nation,W92000004,Wales,39,17,1
