date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-12-24",nation,E92000001,England,1551
"2020-12-23",nation,E92000001,England,13272
"2020-12-21",nation,E92000001,England,37681
"2020-12-20",nation,E92000001,England,28383
"2020-12-19",nation,E92000001,England,21565
"2020-12-18",nation,E92000001,England,31754
"2020-12-17",nation,E92000001,England,29529
"2020-12-16",nation,E92000001,England,29995
"2020-12-15",nation,E92000001,England,29073
"2020-12-14",nation,E92000001,England,29478
"2020-12-13",nation,E92000001,England,18135
"2020-12-12",nation,E92000001,England,16017
"2020-12-11",nation,E92000001,England,19867
"2020-12-10",nation,E92000001,England,18555
"2020-12-09",nation,E92000001,England,17497
"2020-12-08",nation,E92000001,England,16676
"2020-12-07",nation,E92000001,England,17409
"2020-12-06",nation,E92000001,England,10892
"2020-12-05",nation,E92000001,England,10170
"2020-12-04",nation,E92000001,England,12878
"2020-12-03",nation,E92000001,England,12519
"2020-12-02",nation,E92000001,England,13426
"2020-12-01",nation,E92000001,England,13506
"2020-11-30",nation,E92000001,England,15022
"2020-11-29",nation,E92000001,England,8910
"2020-11-28",nation,E92000001,England,9190
"2020-11-27",nation,E92000001,England,12271
"2020-11-26",nation,E92000001,England,12262
"2020-11-25",nation,E92000001,England,13916
"2020-11-24",nation,E92000001,England,14025
"2020-11-23",nation,E92000001,England,16177
"2020-11-22",nation,E92000001,England,10038
"2020-11-21",nation,E92000001,England,10608
"2020-11-20",nation,E92000001,England,14679
"2020-11-19",nation,E92000001,England,15496
"2020-11-18",nation,E92000001,England,18215
"2020-11-17",nation,E92000001,England,20332
"2020-11-16",nation,E92000001,England,23717
"2020-11-15",nation,E92000001,England,14222
"2020-11-14",nation,E92000001,England,16033
"2020-11-13",nation,E92000001,England,21645
"2020-11-12",nation,E92000001,England,21937
"2020-11-11",nation,E92000001,England,24639
"2020-11-10",nation,E92000001,England,24465
"2020-11-09",nation,E92000001,England,28079
"2020-11-08",nation,E92000001,England,17953
"2020-11-07",nation,E92000001,England,16620
"2020-11-06",nation,E92000001,England,20813
"2020-11-05",nation,E92000001,England,20868
"2020-11-04",nation,E92000001,England,20688
"2020-11-03",nation,E92000001,England,22301
"2020-11-02",nation,E92000001,England,27924
"2020-11-01",nation,E92000001,England,13366
"2020-10-31",nation,E92000001,England,14354
"2020-10-30",nation,E92000001,England,19646
"2020-10-29",nation,E92000001,England,19969
"2020-10-28",nation,E92000001,England,20232
"2020-10-27",nation,E92000001,England,20498
"2020-10-26",nation,E92000001,England,22746
"2020-10-25",nation,E92000001,England,13159
"2020-10-24",nation,E92000001,England,13519
"2020-10-23",nation,E92000001,England,18121
"2020-10-22",nation,E92000001,England,19615
"2020-10-21",nation,E92000001,England,21505
"2020-10-20",nation,E92000001,England,21332
"2020-10-19",nation,E92000001,England,22095
"2020-10-18",nation,E92000001,England,11842
"2020-10-17",nation,E92000001,England,12353
"2020-10-16",nation,E92000001,England,14537
"2020-10-15",nation,E92000001,England,15234
"2020-10-14",nation,E92000001,England,16443
"2020-10-13",nation,E92000001,England,15433
"2020-10-12",nation,E92000001,England,16193
"2020-10-11",nation,E92000001,England,9649
"2020-10-10",nation,E92000001,England,10152
"2020-10-09",nation,E92000001,England,13008
"2020-10-08",nation,E92000001,England,15269
"2020-10-07",nation,E92000001,England,15204
"2020-10-06",nation,E92000001,England,14300
"2020-10-05",nation,E92000001,England,14044
"2020-10-04",nation,E92000001,England,9830
"2020-10-03",nation,E92000001,England,9713
"2020-10-02",nation,E92000001,England,11579
"2020-10-01",nation,E92000001,England,11303
"2020-09-30",nation,E92000001,England,10522
"2020-09-29",nation,E92000001,England,8728
"2020-09-28",nation,E92000001,England,8582
"2020-09-27",nation,E92000001,England,6027
"2020-09-26",nation,E92000001,England,5653
"2020-09-25",nation,E92000001,England,6049
"2020-09-24",nation,E92000001,England,6295
"2020-09-23",nation,E92000001,England,5893
"2020-09-22",nation,E92000001,England,5371
"2020-09-21",nation,E92000001,England,4702
"2020-09-20",nation,E92000001,England,4629
"2020-09-19",nation,E92000001,England,4185
"2020-09-18",nation,E92000001,England,4276
"2020-09-17",nation,E92000001,England,3946
"2020-09-16",nation,E92000001,England,3753
"2020-09-15",nation,E92000001,England,3044
"2020-09-14",nation,E92000001,England,2901
"2020-09-13",nation,E92000001,England,1713
"2020-09-12",nation,E92000001,England,2214
"2020-09-11",nation,E92000001,England,2861
"2020-09-10",nation,E92000001,England,3104
"2020-09-09",nation,E92000001,England,2852
"2020-09-08",nation,E92000001,England,3006
"2020-09-07",nation,E92000001,England,3465
"2020-09-06",nation,E92000001,England,2060
"2020-09-05",nation,E92000001,England,2190
"2020-09-04",nation,E92000001,England,2588
"2020-09-03",nation,E92000001,England,2666
"2020-09-02",nation,E92000001,England,2618
"2020-09-01",nation,E92000001,England,1928
"2020-08-31",nation,E92000001,England,1259
"2020-08-30",nation,E92000001,England,978
"2020-08-29",nation,E92000001,England,1042
"2020-08-28",nation,E92000001,England,1384
"2020-08-27",nation,E92000001,England,1325
"2020-08-26",nation,E92000001,England,1141
"2020-08-25",nation,E92000001,England,1059
"2020-08-24",nation,E92000001,England,1131
"2020-08-23",nation,E92000001,England,694
"2020-08-22",nation,E92000001,England,715
"2020-08-21",nation,E92000001,England,1005
"2020-08-20",nation,E92000001,England,1220
"2020-08-19",nation,E92000001,England,1071
"2020-08-18",nation,E92000001,England,924
"2020-08-17",nation,E92000001,England,1137
"2020-08-16",nation,E92000001,England,527
"2020-08-15",nation,E92000001,England,645
"2020-08-14",nation,E92000001,England,1037
"2020-08-13",nation,E92000001,England,1018
"2020-08-12",nation,E92000001,England,1095
"2020-08-11",nation,E92000001,England,1211
"2020-08-10",nation,E92000001,England,1350
"2020-08-09",nation,E92000001,England,557
"2020-08-08",nation,E92000001,England,636
"2020-08-07",nation,E92000001,England,865
"2020-08-06",nation,E92000001,England,981
"2020-08-05",nation,E92000001,England,941
"2020-08-04",nation,E92000001,England,919
"2020-08-03",nation,E92000001,England,939
"2020-08-02",nation,E92000001,England,512
"2020-08-01",nation,E92000001,England,493
"2020-07-31",nation,E92000001,England,623
"2020-07-30",nation,E92000001,England,855
"2020-07-29",nation,E92000001,England,973
"2020-07-28",nation,E92000001,England,781
"2020-07-27",nation,E92000001,England,808
"2020-07-26",nation,E92000001,England,515
"2020-07-25",nation,E92000001,England,492
"2020-07-24",nation,E92000001,England,713
"2020-07-23",nation,E92000001,England,733
"2020-07-22",nation,E92000001,England,750
"2020-07-21",nation,E92000001,England,691
"2020-07-20",nation,E92000001,England,752
"2020-07-19",nation,E92000001,England,413
"2020-07-18",nation,E92000001,England,467
"2020-07-17",nation,E92000001,England,547
"2020-07-16",nation,E92000001,England,640
"2020-07-15",nation,E92000001,England,724
"2020-07-14",nation,E92000001,England,652
"2020-07-13",nation,E92000001,England,688
"2020-07-12",nation,E92000001,England,352
"2020-07-11",nation,E92000001,England,421
"2020-07-10",nation,E92000001,England,521
"2020-07-09",nation,E92000001,England,681
"2020-07-08",nation,E92000001,England,672
"2020-07-07",nation,E92000001,England,557
"2020-07-06",nation,E92000001,England,656
"2020-07-05",nation,E92000001,England,539
"2020-07-04",nation,E92000001,England,383
"2020-07-03",nation,E92000001,England,536
"2020-07-02",nation,E92000001,England,560
"2020-07-01",nation,E92000001,England,604
"2020-06-30",nation,E92000001,England,570
"2020-06-29",nation,E92000001,England,666
"2020-06-28",nation,E92000001,England,411
"2020-06-27",nation,E92000001,England,503
"2020-06-26",nation,E92000001,England,644
"2020-06-25",nation,E92000001,England,637
"2020-06-24",nation,E92000001,England,729
"2020-06-23",nation,E92000001,England,729
"2020-06-22",nation,E92000001,England,812
"2020-06-21",nation,E92000001,England,552
"2020-06-20",nation,E92000001,England,629
"2020-06-19",nation,E92000001,England,812
"2020-06-18",nation,E92000001,England,945
"2020-06-17",nation,E92000001,England,912
"2020-06-16",nation,E92000001,England,992
"2020-06-15",nation,E92000001,England,938
"2020-06-14",nation,E92000001,England,745
"2020-06-13",nation,E92000001,England,784
"2020-06-12",nation,E92000001,England,937
"2020-06-11",nation,E92000001,England,916
"2020-06-10",nation,E92000001,England,1080
"2020-06-09",nation,E92000001,England,1060
"2020-06-08",nation,E92000001,England,987
"2020-06-07",nation,E92000001,England,664
"2020-06-06",nation,E92000001,England,722
"2020-06-05",nation,E92000001,England,1017
"2020-06-04",nation,E92000001,England,1146
"2020-06-03",nation,E92000001,England,1240
"2020-06-02",nation,E92000001,England,1352
"2020-06-01",nation,E92000001,England,1313
"2020-05-31",nation,E92000001,England,985
"2020-05-30",nation,E92000001,England,998
"2020-05-29",nation,E92000001,England,1372
"2020-05-28",nation,E92000001,England,1570
"2020-05-27",nation,E92000001,England,1614
"2020-05-26",nation,E92000001,England,1457
"2020-05-25",nation,E92000001,England,1380
"2020-05-24",nation,E92000001,England,1200
"2020-05-23",nation,E92000001,England,1301
"2020-05-22",nation,E92000001,England,1797
"2020-05-21",nation,E92000001,England,2275
"2020-05-20",nation,E92000001,England,2346
"2020-05-19",nation,E92000001,England,2590
"2020-05-18",nation,E92000001,England,2212
"2020-05-17",nation,E92000001,England,1589
"2020-05-16",nation,E92000001,England,1770
"2020-05-15",nation,E92000001,England,2136
"2020-05-14",nation,E92000001,England,2211
"2020-05-13",nation,E92000001,England,2883
"2020-05-12",nation,E92000001,England,2926
"2020-05-11",nation,E92000001,England,3061
"2020-05-10",nation,E92000001,England,2005
"2020-05-09",nation,E92000001,England,1794
"2020-05-08",nation,E92000001,England,2617
"2020-05-07",nation,E92000001,England,3203
"2020-05-06",nation,E92000001,England,3266
