date,areaType,areaCode,areaName,hospitalCases
"2020-12-24",nation,E92000001,England,18227
"2020-12-23",nation,E92000001,England,17834
"2020-12-21",nation,E92000001,England,17709
"2020-12-20",nation,E92000001,England,16633
"2020-12-19",nation,E92000001,England,16183
"2020-12-18",nation,E92000001,England,15866
"2020-12-17",nation,E92000001,England,15741
"2020-12-16",nation,E92000001,England,15465
"2020-12-15",nation,E92000001,England,15031
"2020-12-14",nation,E92000001,England,15053
"2020-12-13",nation,E92000001,England,14460
"2020-12-12",nation,E92000001,England,13927
"2020-12-11",nation,E92000001,England,13901
"2020-12-10",nation,E92000001,England,13796
"2020-12-09",nation,E92000001,England,13467
"2020-12-08",nation,E92000001,England,13629
"2020-12-07",nation,E92000001,England,13616
"2020-12-06",nation,E92000001,England,13189
"2020-12-05",nation,E92000001,England,12968
"2020-12-04",nation,E92000001,England,12987
"2020-12-03",nation,E92000001,England,12896
"2020-12-02",nation,E92000001,England,13212
"2020-12-01",nation,E92000001,England,13507
"2020-11-30",nation,E92000001,England,13756
"2020-11-29",nation,E92000001,England,13521
"2020-11-28",nation,E92000001,England,13208
"2020-11-27",nation,E92000001,England,13754
"2020-11-26",nation,E92000001,England,13908
"2020-11-25",nation,E92000001,England,14240
"2020-11-24",nation,E92000001,England,14506
"2020-11-23",nation,E92000001,England,14712
"2020-11-22",nation,E92000001,England,14354
"2020-11-21",nation,E92000001,England,14118
"2020-11-20",nation,E92000001,England,14236
"2020-11-19",nation,E92000001,England,14479
"2020-11-18",nation,E92000001,England,14490
"2020-11-17",nation,E92000001,England,14411
"2020-11-16",nation,E92000001,England,14313
"2020-11-15",nation,E92000001,England,13886
"2020-11-14",nation,E92000001,England,13399
"2020-11-13",nation,E92000001,England,13328
"2020-11-12",nation,E92000001,England,12967
"2020-11-11",nation,E92000001,England,12730
"2020-11-10",nation,E92000001,England,12033
"2020-11-09",nation,E92000001,England,12259
"2020-11-08",nation,E92000001,England,11680
"2020-11-07",nation,E92000001,England,11514
"2020-11-06",nation,E92000001,England,11181
"2020-11-05",nation,E92000001,England,10994
"2020-11-04",nation,E92000001,England,11037
"2020-11-03",nation,E92000001,England,10971
"2020-11-02",nation,E92000001,England,10397
"2020-11-01",nation,E92000001,England,9623
"2020-10-31",nation,E92000001,England,9782
"2020-10-30",nation,E92000001,England,9295
"2020-10-29",nation,E92000001,England,9127
"2020-10-28",nation,E92000001,England,9070
"2020-10-27",nation,E92000001,England,8595
"2020-10-26",nation,E92000001,England,7856
"2020-10-25",nation,E92000001,England,7612
"2020-10-24",nation,E92000001,England,7176
"2020-10-23",nation,E92000001,England,6842
"2020-10-22",nation,E92000001,England,6345
"2020-10-21",nation,E92000001,England,6271
"2020-10-20",nation,E92000001,England,6072
"2020-10-19",nation,E92000001,England,5644
"2020-10-18",nation,E92000001,England,5202
"2020-10-17",nation,E92000001,England,5029
"2020-10-16",nation,E92000001,England,4854
"2020-10-15",nation,E92000001,England,4569
"2020-10-14",nation,E92000001,England,4313
"2020-10-13",nation,E92000001,England,4105
"2020-10-12",nation,E92000001,England,3827
"2020-10-11",nation,E92000001,England,3604
"2020-10-10",nation,E92000001,England,3369
"2020-10-09",nation,E92000001,England,3238
"2020-10-08",nation,E92000001,England,3179
"2020-10-07",nation,E92000001,England,3066
"2020-10-06",nation,E92000001,England,2903
"2020-10-05",nation,E92000001,England,2705
"2020-10-04",nation,E92000001,England,2435
"2020-10-03",nation,E92000001,England,2290
"2020-10-02",nation,E92000001,England,2180
"2020-10-01",nation,E92000001,England,2069
"2020-09-30",nation,E92000001,England,2036
"2020-09-29",nation,E92000001,England,1954
"2020-09-28",nation,E92000001,England,1955
"2020-09-27",nation,E92000001,England,1793
"2020-09-26",nation,E92000001,England,1689
"2020-09-25",nation,E92000001,England,1686
"2020-09-24",nation,E92000001,England,1546
"2020-09-23",nation,E92000001,England,1439
"2020-09-22",nation,E92000001,England,1378
"2020-09-21",nation,E92000001,England,1299
"2020-09-20",nation,E92000001,England,1174
"2020-09-19",nation,E92000001,England,1081
"2020-09-18",nation,E92000001,England,1020
"2020-09-17",nation,E92000001,England,984
"2020-09-16",nation,E92000001,England,929
"2020-09-15",nation,E92000001,England,891
"2020-09-14",nation,E92000001,England,812
"2020-09-13",nation,E92000001,England,691
"2020-09-12",nation,E92000001,England,663
"2020-09-11",nation,E92000001,England,622
"2020-09-10",nation,E92000001,England,572
"2020-09-09",nation,E92000001,England,557
"2020-09-08",nation,E92000001,England,535
"2020-09-07",nation,E92000001,England,555
"2020-09-06",nation,E92000001,England,483
"2020-09-05",nation,E92000001,England,471
"2020-09-04",nation,E92000001,England,474
"2020-09-03",nation,E92000001,England,468
"2020-09-02",nation,E92000001,England,451
"2020-09-01",nation,E92000001,England,496
"2020-08-31",nation,E92000001,England,495
"2020-08-30",nation,E92000001,England,479
"2020-08-29",nation,E92000001,England,478
"2020-08-28",nation,E92000001,England,469
"2020-08-27",nation,E92000001,England,492
"2020-08-26",nation,E92000001,England,485
"2020-08-25",nation,E92000001,England,500
"2020-08-24",nation,E92000001,England,522
"2020-08-23",nation,E92000001,England,522
"2020-08-22",nation,E92000001,England,594
"2020-08-21",nation,E92000001,England,528
"2020-08-20",nation,E92000001,England,551
"2020-08-19",nation,E92000001,England,571
"2020-08-18",nation,E92000001,England,597
"2020-08-17",nation,E92000001,England,626
"2020-08-16",nation,E92000001,England,634
"2020-08-15",nation,E92000001,England,630
"2020-08-14",nation,E92000001,England,642
"2020-08-13",nation,E92000001,England,652
"2020-08-12",nation,E92000001,England,642
