UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Andy,@6677baggiesandy,2021-01-01T18:22:59.000Z,"Replying to 
@dkgfanatic000I don't have a clue what's involved in being London mayor but if it involves holding people to account together things done then maybe hes worth a shot, they had boris after all so cant be any worse",,1,,,,https://twitter.com/6677baggiesandy/status/1345073049167654914
Happy New Jonesy,@dkgfanatic000,2021-01-01T18:24:59.000Z,"He's one of the most prominent COVID hoaxers in the UK. Alongside Icke and #KBF founder Dolan. I think he's going to be, like, at the bottom come Mayor results day.",🎉 🌟 🥂,1,,1,,https://twitter.com/dkgfanatic000/status/1345073550634475521
The Real Kurt and Goldie,@MarkCon44924717,2021-01-01T03:20:20.000Z,"Unite against this tyranny everybody come together it's our year to claw back our lives. I never had help from a government to become the man l am #KBF #HappyNewYear2021 my arseQuote Tweet
@Suspicious_Mind
@SUSPICIOUSsMIND
 · Jan 1
Right on! WE are many! twitter.com/Intuitive1966/…",,,1,,https://pbs.twimg.com/profile_images/1267189362317496320/uJVS4srz_normal.jpg,https://twitter.com/MarkCon44924717/status/1344845890352250880
Holiday N York Moors,@rosellacottage,2021-01-01T10:47:39.000Z,"If you come for a holiday 
@rosellacottage
 for a whole year, your risk of dying is around 1 chance in 14,000.

If you go for a day out to Whitby, your risk of dying increases by zero.

#endlockdown #KBF #GreatBarringtonDeclaration",,1,,1,https://pbs.twimg.com/media/EqpAlX_XIAEnfip?format=jpg&name=900x900,https://twitter.com/rosellacottage/status/1344958458639101953
Khristian Rainford,@khristian4000,2021-01-01T15:09:14.000Z,"Replying to 
@deborahcowell1
 and 
@simondolanProfit over humanity, just as bad as some of the people with their friends in pharma who are using it for profit sadly. Turns my stomach, worst kind of opportunist.",,1,,1,,https://twitter.com/khristian4000/status/1345024289846779905
Deborah Cowell,@deborahcowell1,2021-01-01T15:12:14.000Z,"It’s a good thing there are also people on Twitter who stand up against people like this. Most keep to their own echo chamber, but sometimes you have to explore the other side to try and work out how they think. I know I’m shouting into the void with #KBF but I’m doing it anyway.",,2,,2,,https://twitter.com/deborahcowell1/status/1345025042002948097
JW,@Julia_Wallis,2021-01-01T15:57:32.000Z,"A long read but worthwhile #KBFQuote Tweet
Emma Kenny
@emmakennytv
 · Jan 1
What is left to say? | Dr. Malcolm Kendrick https://drmalcolmkendrick.org/2020/12/30/what-is-left-to-say/…",,,,,https://pbs.twimg.com/profile_images/3443730981/62346eb8e486b2432b2d47f267f797db_normal.jpeg,https://twitter.com/Julia_Wallis/status/1345036442234474497
"Gary Watson #KBF
Democracy always wins",@GazWatty1,2021-01-01T12:06:11.000Z,"It's an honour to ride this train with these great PATRIOTS.

We fought for BREXIT......

Now we need to fight harder for freedoms in our countries.

#MAGA 
#MBGA 
#TRUMP2020ToSaveAmerica 
#KBFQuote Tweet
PAUL WALES WATP GSTQ GLASGOW RANGERS IRON MAIDEN
 · Dec 31, 2020
TRAIN 3. 
@454US
@KLB1USA
@PaulMer53
@OmarRises
@BrodieRichards
@broderickmills3
@jph229
@roy_beecham
@RonBrexiter
@goodnitebob
@JackieMKM
@WilliamBottom1
@ninnyd101
@RevisTrump
@Thedollzed
@ColinMichelle97 
@TaniaB57027163
@GD0861
@HP4USA
@Hghoda
@w1mav
@BoarGator
@GazWatty1",,1,,1,https://pbs.twimg.com/profile_images/1344599195316064257/RstPgsVZ_normal.jpg,https://twitter.com/GazWatty1/status/1344978223835316225
Luke Rudkowski,@Lukewearechange,2021-01-01T01:29:21.000Z,What kind of message does this send to the world,,794,3.4K,5.8K,https://pbs.twimg.com/media/EqnAygeXEAE9aab?format=jpg&name=small,https://twitter.com/Lukewearechange/status/1344817958879703040
TheMuckyPuppy #KBF,@Themuckypuppy,2021-01-01T06:55:25.000Z,This is what happens when you STOP testing people who are not sick. Funny how that works. #KBF,,1,,,,https://twitter.com/Themuckypuppy/status/1344900014229827586
