date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-12-21",nation,S92000003,Scotland,404
"2020-12-20",nation,S92000003,Scotland,798
"2020-12-19",nation,S92000003,Scotland,732
"2020-12-18",nation,S92000003,Scotland,913
"2020-12-17",nation,S92000003,Scotland,909
"2020-12-16",nation,S92000003,Scotland,1042
"2020-12-15",nation,S92000003,Scotland,1035
"2020-12-14",nation,S92000003,Scotland,1099
"2020-12-13",nation,S92000003,Scotland,722
"2020-12-12",nation,S92000003,Scotland,682
"2020-12-11",nation,S92000003,Scotland,871
"2020-12-10",nation,S92000003,Scotland,896
"2020-12-09",nation,S92000003,Scotland,996
"2020-12-08",nation,S92000003,Scotland,1041
"2020-12-07",nation,S92000003,Scotland,953
"2020-12-06",nation,S92000003,Scotland,645
"2020-12-05",nation,S92000003,Scotland,664
"2020-12-04",nation,S92000003,Scotland,646
"2020-12-03",nation,S92000003,Scotland,806
"2020-12-02",nation,S92000003,Scotland,947
"2020-12-01",nation,S92000003,Scotland,923
"2020-11-30",nation,S92000003,Scotland,973
"2020-11-29",nation,S92000003,Scotland,553
"2020-11-28",nation,S92000003,Scotland,572
"2020-11-27",nation,S92000003,Scotland,737
"2020-11-26",nation,S92000003,Scotland,802
"2020-11-25",nation,S92000003,Scotland,929
"2020-11-24",nation,S92000003,Scotland,990
"2020-11-23",nation,S92000003,Scotland,1159
"2020-11-22",nation,S92000003,Scotland,706
"2020-11-21",nation,S92000003,Scotland,763
"2020-11-20",nation,S92000003,Scotland,864
"2020-11-19",nation,S92000003,Scotland,981
"2020-11-18",nation,S92000003,Scotland,1115
"2020-11-17",nation,S92000003,Scotland,1225
"2020-11-16",nation,S92000003,Scotland,1275
"2020-11-15",nation,S92000003,Scotland,812
"2020-11-14",nation,S92000003,Scotland,919
"2020-11-13",nation,S92000003,Scotland,1062
"2020-11-12",nation,S92000003,Scotland,1196
"2020-11-11",nation,S92000003,Scotland,1250
"2020-11-10",nation,S92000003,Scotland,1290
"2020-11-09",nation,S92000003,Scotland,1295
"2020-11-08",nation,S92000003,Scotland,878
"2020-11-07",nation,S92000003,Scotland,844
"2020-11-06",nation,S92000003,Scotland,1141
"2020-11-05",nation,S92000003,Scotland,1294
"2020-11-04",nation,S92000003,Scotland,1303
"2020-11-03",nation,S92000003,Scotland,1392
