date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
"2020-12-13",nation,S92000003,Scotland,
"2020-12-12",nation,S92000003,Scotland,0
"2020-12-11",nation,S92000003,Scotland,0
"2020-12-10",nation,S92000003,Scotland,10
"2020-12-09",nation,S92000003,Scotland,19
"2020-12-08",nation,S92000003,Scotland,26
"2020-12-07",nation,S92000003,Scotland,27
"2020-12-06",nation,S92000003,Scotland,28
"2020-12-05",nation,S92000003,Scotland,19
"2020-12-04",nation,S92000003,Scotland,27
"2020-12-03",nation,S92000003,Scotland,33
"2020-12-02",nation,S92000003,Scotland,19
"2020-12-01",nation,S92000003,Scotland,27
"2020-11-30",nation,S92000003,Scotland,31
"2020-11-29",nation,S92000003,Scotland,26
"2020-11-28",nation,S92000003,Scotland,39
"2020-11-27",nation,S92000003,Scotland,22
"2020-11-26",nation,S92000003,Scotland,23
"2020-11-25",nation,S92000003,Scotland,32
"2020-11-24",nation,S92000003,Scotland,29
"2020-11-23",nation,S92000003,Scotland,30
"2020-11-22",nation,S92000003,Scotland,36
"2020-11-21",nation,S92000003,Scotland,33
"2020-11-20",nation,S92000003,Scotland,29
"2020-11-19",nation,S92000003,Scotland,26
"2020-11-18",nation,S92000003,Scotland,22
"2020-11-17",nation,S92000003,Scotland,36
"2020-11-16",nation,S92000003,Scotland,32
"2020-11-15",nation,S92000003,Scotland,33
"2020-11-14",nation,S92000003,Scotland,38
"2020-11-13",nation,S92000003,Scotland,35
"2020-11-12",nation,S92000003,Scotland,31
"2020-11-11",nation,S92000003,Scotland,35
"2020-11-10",nation,S92000003,Scotland,33
"2020-11-09",nation,S92000003,Scotland,38
"2020-11-08",nation,S92000003,Scotland,35
"2020-11-07",nation,S92000003,Scotland,35
"2020-11-06",nation,S92000003,Scotland,26
"2020-11-05",nation,S92000003,Scotland,37
"2020-11-04",nation,S92000003,Scotland,19
"2020-11-03",nation,S92000003,Scotland,33
"2020-11-02",nation,S92000003,Scotland,27
"2020-11-01",nation,S92000003,Scotland,34
"2020-10-31",nation,S92000003,Scotland,24
