date,areaType,areaCode,areaName,newDeaths28DaysByDeathDateRate
"2020-12-13",overview,K02000001,United Kingdom,
"2020-12-12",overview,K02000001,United Kingdom,
"2020-12-11",overview,K02000001,United Kingdom,
"2020-12-10",overview,K02000001,United Kingdom,0.5
"2020-12-09",overview,K02000001,United Kingdom,0.5
"2020-12-08",overview,K02000001,United Kingdom,0.6
"2020-12-07",overview,K02000001,United Kingdom,0.6
"2020-12-06",overview,K02000001,United Kingdom,0.5
"2020-12-05",overview,K02000001,United Kingdom,0.5
"2020-12-04",overview,K02000001,United Kingdom,0.6
"2020-12-03",overview,K02000001,United Kingdom,0.7
"2020-12-02",overview,K02000001,United Kingdom,0.6
"2020-12-01",overview,K02000001,United Kingdom,0.6
"2020-11-30",overview,K02000001,United Kingdom,0.6
"2020-11-29",overview,K02000001,United Kingdom,0.7
"2020-11-28",overview,K02000001,United Kingdom,0.7
"2020-11-27",overview,K02000001,United Kingdom,0.6
"2020-11-26",overview,K02000001,United Kingdom,0.6
"2020-11-25",overview,K02000001,United Kingdom,0.7
"2020-11-24",overview,K02000001,United Kingdom,0.7
"2020-11-23",overview,K02000001,United Kingdom,0.7
"2020-11-22",overview,K02000001,United Kingdom,0.7
"2020-11-21",overview,K02000001,United Kingdom,0.7
"2020-11-20",overview,K02000001,United Kingdom,0.7
"2020-11-19",overview,K02000001,United Kingdom,0.7
"2020-11-18",overview,K02000001,United Kingdom,0.7
"2020-11-17",overview,K02000001,United Kingdom,0.7
"2020-11-16",overview,K02000001,United Kingdom,0.6
"2020-11-15",overview,K02000001,United Kingdom,0.7
"2020-11-14",overview,K02000001,United Kingdom,0.6
"2020-11-13",overview,K02000001,United Kingdom,0.6
"2020-11-12",overview,K02000001,United Kingdom,0.6
"2020-11-11",overview,K02000001,United Kingdom,0.6
"2020-11-10",overview,K02000001,United Kingdom,0.6
"2020-11-09",overview,K02000001,United Kingdom,0.7
"2020-11-08",overview,K02000001,United Kingdom,0.6
"2020-11-07",overview,K02000001,United Kingdom,0.6
"2020-11-06",overview,K02000001,United Kingdom,0.6
"2020-11-05",overview,K02000001,United Kingdom,0.6
"2020-11-04",overview,K02000001,United Kingdom,0.5
"2020-11-03",overview,K02000001,United Kingdom,0.5
"2020-11-02",overview,K02000001,United Kingdom,0.5
"2020-11-01",overview,K02000001,United Kingdom,0.5
"2020-10-31",overview,K02000001,United Kingdom,0.5
"2020-10-30",overview,K02000001,United Kingdom,0.5
"2020-10-29",overview,K02000001,United Kingdom,0.5
"2020-10-28",overview,K02000001,United Kingdom,0.4
"2020-10-27",overview,K02000001,United Kingdom,0.4
"2020-10-26",overview,K02000001,United Kingdom,0.4
"2020-10-25",overview,K02000001,United Kingdom,0.4
"2020-10-24",overview,K02000001,United Kingdom,0.3
"2020-10-23",overview,K02000001,United Kingdom,0.3
"2020-10-22",overview,K02000001,United Kingdom,0.4
"2020-10-21",overview,K02000001,United Kingdom,0.3
"2020-10-20",overview,K02000001,United Kingdom,0.3
"2020-10-19",overview,K02000001,United Kingdom,0.3
"2020-10-18",overview,K02000001,United Kingdom,0.2
"2020-10-17",overview,K02000001,United Kingdom,0.3
"2020-10-16",overview,K02000001,United Kingdom,0.2
"2020-10-15",overview,K02000001,United Kingdom,0.2
"2020-10-14",overview,K02000001,United Kingdom,0.2
"2020-10-13",overview,K02000001,United Kingdom,0.2
"2020-10-12",overview,K02000001,United Kingdom,0.2
"2020-10-11",overview,K02000001,United Kingdom,0.2
"2020-10-10",overview,K02000001,United Kingdom,0.2
"2020-10-09",overview,K02000001,United Kingdom,0.1
"2020-10-08",overview,K02000001,United Kingdom,0.1
"2020-10-07",overview,K02000001,United Kingdom,0.2
"2020-10-06",overview,K02000001,United Kingdom,0.1
"2020-10-05",overview,K02000001,United Kingdom,0.1
"2020-10-04",overview,K02000001,United Kingdom,0.1
"2020-10-03",overview,K02000001,United Kingdom,0.1
"2020-10-02",overview,K02000001,United Kingdom,0.1
"2020-10-01",overview,K02000001,United Kingdom,0.1
"2020-09-30",overview,K02000001,United Kingdom,0.1
"2020-09-29",overview,K02000001,United Kingdom,0.1
"2020-09-28",overview,K02000001,United Kingdom,0.1
"2020-09-27",overview,K02000001,United Kingdom,0.1
"2020-09-26",overview,K02000001,United Kingdom,0.1
"2020-09-25",overview,K02000001,United Kingdom,0
"2020-09-24",overview,K02000001,United Kingdom,0.1
"2020-09-23",overview,K02000001,United Kingdom,0.1
"2020-09-22",overview,K02000001,United Kingdom,0.1
"2020-09-21",overview,K02000001,United Kingdom,0
"2020-09-20",overview,K02000001,United Kingdom,0
"2020-09-19",overview,K02000001,United Kingdom,0
"2020-09-18",overview,K02000001,United Kingdom,0
"2020-09-17",overview,K02000001,United Kingdom,0
"2020-09-16",overview,K02000001,United Kingdom,0
"2020-09-15",overview,K02000001,United Kingdom,0
"2020-09-14",overview,K02000001,United Kingdom,0
"2020-09-13",overview,K02000001,United Kingdom,0
"2020-09-12",overview,K02000001,United Kingdom,0
"2020-09-11",overview,K02000001,United Kingdom,0
"2020-09-10",overview,K02000001,United Kingdom,0
"2020-09-09",overview,K02000001,United Kingdom,0
