date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-12-23",nation,W92000004,Wales,5
"2020-12-22",nation,W92000004,Wales,123
"2020-12-21",nation,W92000004,Wales,1791
"2020-12-20",nation,W92000004,Wales,2143
"2020-12-19",nation,W92000004,Wales,2137
"2020-12-18",nation,W92000004,Wales,2521
"2020-12-17",nation,W92000004,Wales,2771
"2020-12-16",nation,W92000004,Wales,3134
"2020-12-15",nation,W92000004,Wales,3179
"2020-12-14",nation,W92000004,Wales,3539
"2020-12-13",nation,W92000004,Wales,2731
"2020-12-12",nation,W92000004,Wales,2284
"2020-12-11",nation,W92000004,Wales,2811
"2020-12-10",nation,W92000004,Wales,2664
"2020-12-09",nation,W92000004,Wales,2692
"2020-12-08",nation,W92000004,Wales,2602
"2020-12-07",nation,W92000004,Wales,2511
"2020-12-06",nation,W92000004,Wales,1697
"2020-12-05",nation,W92000004,Wales,1533
"2020-12-04",nation,W92000004,Wales,1698
"2020-12-03",nation,W92000004,Wales,1807
"2020-12-02",nation,W92000004,Wales,1643
"2020-12-01",nation,W92000004,Wales,1611
"2020-11-30",nation,W92000004,Wales,1505
"2020-11-29",nation,W92000004,Wales,966
"2020-11-28",nation,W92000004,Wales,844
"2020-11-27",nation,W92000004,Wales,1035
"2020-11-26",nation,W92000004,Wales,1159
"2020-11-25",nation,W92000004,Wales,1338
"2020-11-24",nation,W92000004,Wales,1093
"2020-11-23",nation,W92000004,Wales,1031
"2020-11-22",nation,W92000004,Wales,717
"2020-11-21",nation,W92000004,Wales,680
"2020-11-20",nation,W92000004,Wales,936
"2020-11-19",nation,W92000004,Wales,920
"2020-11-18",nation,W92000004,Wales,987
"2020-11-17",nation,W92000004,Wales,1040
"2020-11-16",nation,W92000004,Wales,993
"2020-11-15",nation,W92000004,Wales,628
"2020-11-14",nation,W92000004,Wales,628
"2020-11-13",nation,W92000004,Wales,860
"2020-11-12",nation,W92000004,Wales,772
"2020-11-11",nation,W92000004,Wales,855
"2020-11-10",nation,W92000004,Wales,963
"2020-11-09",nation,W92000004,Wales,1011
"2020-11-08",nation,W92000004,Wales,696
"2020-11-07",nation,W92000004,Wales,605
"2020-11-06",nation,W92000004,Wales,877
"2020-11-05",nation,W92000004,Wales,1017
"2020-11-04",nation,W92000004,Wales,1094
"2020-11-03",nation,W92000004,Wales,1234
"2020-11-02",nation,W92000004,Wales,1410
"2020-11-01",nation,W92000004,Wales,948
"2020-10-31",nation,W92000004,Wales,879
"2020-10-30",nation,W92000004,Wales,1241
"2020-10-29",nation,W92000004,Wales,1583
"2020-10-28",nation,W92000004,Wales,1357
"2020-10-27",nation,W92000004,Wales,1478
"2020-10-26",nation,W92000004,Wales,1556
"2020-10-25",nation,W92000004,Wales,940
"2020-10-24",nation,W92000004,Wales,1025
"2020-10-23",nation,W92000004,Wales,1197
"2020-10-22",nation,W92000004,Wales,1056
"2020-10-21",nation,W92000004,Wales,1266
"2020-10-20",nation,W92000004,Wales,1237
"2020-10-19",nation,W92000004,Wales,1111
"2020-10-18",nation,W92000004,Wales,716
"2020-10-17",nation,W92000004,Wales,708
"2020-10-16",nation,W92000004,Wales,952
"2020-10-15",nation,W92000004,Wales,791
"2020-10-14",nation,W92000004,Wales,904
"2020-10-13",nation,W92000004,Wales,952
"2020-10-12",nation,W92000004,Wales,782
"2020-10-11",nation,W92000004,Wales,626
"2020-10-10",nation,W92000004,Wales,619
"2020-10-09",nation,W92000004,Wales,782
"2020-10-08",nation,W92000004,Wales,827
"2020-10-07",nation,W92000004,Wales,851
"2020-10-06",nation,W92000004,Wales,771
"2020-10-05",nation,W92000004,Wales,703
"2020-10-04",nation,W92000004,Wales,614
"2020-10-03",nation,W92000004,Wales,518
"2020-10-02",nation,W92000004,Wales,601
"2020-10-01",nation,W92000004,Wales,627
"2020-09-30",nation,W92000004,Wales,601
"2020-09-29",nation,W92000004,Wales,466
"2020-09-28",nation,W92000004,Wales,426
"2020-09-27",nation,W92000004,Wales,317
"2020-09-26",nation,W92000004,Wales,403
"2020-09-25",nation,W92000004,Wales,385
"2020-09-24",nation,W92000004,Wales,316
"2020-09-23",nation,W92000004,Wales,378
"2020-09-22",nation,W92000004,Wales,379
"2020-09-21",nation,W92000004,Wales,313
"2020-09-20",nation,W92000004,Wales,252
"2020-09-19",nation,W92000004,Wales,280
"2020-09-18",nation,W92000004,Wales,246
"2020-09-17",nation,W92000004,Wales,261
"2020-09-16",nation,W92000004,Wales,207
"2020-09-15",nation,W92000004,Wales,164
"2020-09-14",nation,W92000004,Wales,191
"2020-09-13",nation,W92000004,Wales,164
"2020-09-12",nation,W92000004,Wales,140
"2020-09-11",nation,W92000004,Wales,145
"2020-09-10",nation,W92000004,Wales,186
"2020-09-09",nation,W92000004,Wales,158
"2020-09-08",nation,W92000004,Wales,143
"2020-09-07",nation,W92000004,Wales,159
"2020-09-06",nation,W92000004,Wales,131
"2020-09-05",nation,W92000004,Wales,128
"2020-09-04",nation,W92000004,Wales,149
"2020-09-03",nation,W92000004,Wales,125
"2020-09-02",nation,W92000004,Wales,95
"2020-09-01",nation,W92000004,Wales,57
"2020-08-31",nation,W92000004,Wales,44
"2020-08-30",nation,W92000004,Wales,46
"2020-08-29",nation,W92000004,Wales,44
"2020-08-28",nation,W92000004,Wales,52
"2020-08-27",nation,W92000004,Wales,50
"2020-08-26",nation,W92000004,Wales,44
"2020-08-25",nation,W92000004,Wales,50
"2020-08-24",nation,W92000004,Wales,36
"2020-08-23",nation,W92000004,Wales,11
"2020-08-22",nation,W92000004,Wales,19
"2020-08-21",nation,W92000004,Wales,22
"2020-08-20",nation,W92000004,Wales,31
"2020-08-19",nation,W92000004,Wales,35
"2020-08-18",nation,W92000004,Wales,38
"2020-08-17",nation,W92000004,Wales,19
"2020-08-16",nation,W92000004,Wales,18
"2020-08-15",nation,W92000004,Wales,10
"2020-08-14",nation,W92000004,Wales,17
"2020-08-13",nation,W92000004,Wales,17
"2020-08-12",nation,W92000004,Wales,24
"2020-08-11",nation,W92000004,Wales,27
"2020-08-10",nation,W92000004,Wales,19
"2020-08-09",nation,W92000004,Wales,8
"2020-08-08",nation,W92000004,Wales,5
"2020-08-07",nation,W92000004,Wales,15
"2020-08-06",nation,W92000004,Wales,22
"2020-08-05",nation,W92000004,Wales,22
"2020-08-04",nation,W92000004,Wales,24
"2020-08-03",nation,W92000004,Wales,22
"2020-08-02",nation,W92000004,Wales,14
"2020-08-01",nation,W92000004,Wales,16
"2020-07-31",nation,W92000004,Wales,16
"2020-07-30",nation,W92000004,Wales,30
"2020-07-29",nation,W92000004,Wales,27
"2020-07-28",nation,W92000004,Wales,27
"2020-07-27",nation,W92000004,Wales,23
"2020-07-26",nation,W92000004,Wales,35
"2020-07-25",nation,W92000004,Wales,24
"2020-07-24",nation,W92000004,Wales,30
"2020-07-23",nation,W92000004,Wales,31
"2020-07-22",nation,W92000004,Wales,25
"2020-07-21",nation,W92000004,Wales,61
"2020-07-20",nation,W92000004,Wales,43
"2020-07-19",nation,W92000004,Wales,10
"2020-07-18",nation,W92000004,Wales,11
"2020-07-17",nation,W92000004,Wales,17
"2020-07-16",nation,W92000004,Wales,25
"2020-07-15",nation,W92000004,Wales,18
"2020-07-14",nation,W92000004,Wales,23
"2020-07-13",nation,W92000004,Wales,24
"2020-07-12",nation,W92000004,Wales,10
"2020-07-11",nation,W92000004,Wales,12
"2020-07-10",nation,W92000004,Wales,29
"2020-07-09",nation,W92000004,Wales,22
"2020-07-08",nation,W92000004,Wales,14
"2020-07-07",nation,W92000004,Wales,29
"2020-07-06",nation,W92000004,Wales,35
"2020-07-05",nation,W92000004,Wales,12
"2020-07-04",nation,W92000004,Wales,9
"2020-07-03",nation,W92000004,Wales,19
"2020-07-02",nation,W92000004,Wales,28
"2020-07-01",nation,W92000004,Wales,27
"2020-06-30",nation,W92000004,Wales,35
"2020-06-29",nation,W92000004,Wales,43
"2020-06-28",nation,W92000004,Wales,28
"2020-06-27",nation,W92000004,Wales,140
"2020-06-26",nation,W92000004,Wales,19
"2020-06-25",nation,W92000004,Wales,60
"2020-06-24",nation,W92000004,Wales,37
"2020-06-23",nation,W92000004,Wales,131
"2020-06-22",nation,W92000004,Wales,66
"2020-06-21",nation,W92000004,Wales,76
"2020-06-20",nation,W92000004,Wales,47
"2020-06-19",nation,W92000004,Wales,140
"2020-06-18",nation,W92000004,Wales,62
"2020-06-17",nation,W92000004,Wales,64
"2020-06-16",nation,W92000004,Wales,82
"2020-06-15",nation,W92000004,Wales,66
"2020-06-14",nation,W92000004,Wales,54
"2020-06-13",nation,W92000004,Wales,70
"2020-06-12",nation,W92000004,Wales,75
"2020-06-11",nation,W92000004,Wales,66
"2020-06-10",nation,W92000004,Wales,67
"2020-06-09",nation,W92000004,Wales,62
"2020-06-08",nation,W92000004,Wales,74
"2020-06-07",nation,W92000004,Wales,34
"2020-06-06",nation,W92000004,Wales,53
"2020-06-05",nation,W92000004,Wales,55
"2020-06-04",nation,W92000004,Wales,60
"2020-06-03",nation,W92000004,Wales,75
"2020-06-02",nation,W92000004,Wales,73
"2020-06-01",nation,W92000004,Wales,64
"2020-05-31",nation,W92000004,Wales,46
"2020-05-30",nation,W92000004,Wales,70
"2020-05-29",nation,W92000004,Wales,106
"2020-05-28",nation,W92000004,Wales,102
"2020-05-27",nation,W92000004,Wales,118
"2020-05-26",nation,W92000004,Wales,102
"2020-05-25",nation,W92000004,Wales,105
"2020-05-24",nation,W92000004,Wales,82
"2020-05-23",nation,W92000004,Wales,122
"2020-05-22",nation,W92000004,Wales,137
"2020-05-21",nation,W92000004,Wales,132
"2020-05-20",nation,W92000004,Wales,166
"2020-05-19",nation,W92000004,Wales,213
"2020-05-18",nation,W92000004,Wales,168
