date,areaType,areaCode,areaName,hospitalCases
"2020-12-22",nation,W92000004,Wales,1727
"2020-12-21",nation,W92000004,Wales,1683
"2020-12-20",nation,W92000004,Wales,1652
"2020-12-19",nation,W92000004,Wales,1605
"2020-12-18",nation,W92000004,Wales,1585
"2020-12-17",nation,W92000004,Wales,1573
"2020-12-16",nation,W92000004,Wales,1513
"2020-12-15",nation,W92000004,Wales,1525
"2020-12-14",nation,W92000004,Wales,1529
"2020-12-13",nation,W92000004,Wales,1425
"2020-12-12",nation,W92000004,Wales,1370
"2020-12-11",nation,W92000004,Wales,1385
"2020-12-10",nation,W92000004,Wales,1328
"2020-12-09",nation,W92000004,Wales,1280
"2020-12-08",nation,W92000004,Wales,1231
"2020-12-07",nation,W92000004,Wales,1208
"2020-12-06",nation,W92000004,Wales,1199
"2020-12-05",nation,W92000004,Wales,1167
"2020-12-04",nation,W92000004,Wales,1175
"2020-12-03",nation,W92000004,Wales,1187
"2020-12-02",nation,W92000004,Wales,1180
"2020-12-01",nation,W92000004,Wales,1171
"2020-11-30",nation,W92000004,Wales,1151
"2020-11-29",nation,W92000004,Wales,1125
"2020-11-28",nation,W92000004,Wales,1106
"2020-11-27",nation,W92000004,Wales,1129
"2020-11-26",nation,W92000004,Wales,1134
"2020-11-25",nation,W92000004,Wales,1128
"2020-11-24",nation,W92000004,Wales,1114
"2020-11-23",nation,W92000004,Wales,1150
"2020-11-22",nation,W92000004,Wales,1105
"2020-11-21",nation,W92000004,Wales,1125
"2020-11-20",nation,W92000004,Wales,1100
"2020-11-19",nation,W92000004,Wales,1140
"2020-11-18",nation,W92000004,Wales,1121
"2020-11-17",nation,W92000004,Wales,1143
"2020-11-16",nation,W92000004,Wales,1127
"2020-11-15",nation,W92000004,Wales,1104
"2020-11-14",nation,W92000004,Wales,1080
"2020-11-13",nation,W92000004,Wales,1060
"2020-11-12",nation,W92000004,Wales,1066
"2020-11-11",nation,W92000004,Wales,1054
"2020-11-10",nation,W92000004,Wales,1044
"2020-11-09",nation,W92000004,Wales,1030
"2020-11-08",nation,W92000004,Wales,992
"2020-11-07",nation,W92000004,Wales,953
"2020-11-06",nation,W92000004,Wales,945
"2020-11-05",nation,W92000004,Wales,946
"2020-11-04",nation,W92000004,Wales,914
"2020-11-03",nation,W92000004,Wales,900
"2020-11-02",nation,W92000004,Wales,866
"2020-11-01",nation,W92000004,Wales,809
"2020-10-31",nation,W92000004,Wales,794
"2020-10-30",nation,W92000004,Wales,762
"2020-10-29",nation,W92000004,Wales,739
"2020-10-28",nation,W92000004,Wales,695
"2020-10-27",nation,W92000004,Wales,685
"2020-10-26",nation,W92000004,Wales,654
"2020-10-25",nation,W92000004,Wales,612
"2020-10-24",nation,W92000004,Wales,575
"2020-10-23",nation,W92000004,Wales,571
"2020-10-22",nation,W92000004,Wales,550
"2020-10-21",nation,W92000004,Wales,524
"2020-10-20",nation,W92000004,Wales,492
"2020-10-19",nation,W92000004,Wales,491
"2020-10-18",nation,W92000004,Wales,482
"2020-10-17",nation,W92000004,Wales,437
"2020-10-16",nation,W92000004,Wales,442
"2020-10-15",nation,W92000004,Wales,414
"2020-10-14",nation,W92000004,Wales,384
"2020-10-13",nation,W92000004,Wales,345
"2020-10-12",nation,W92000004,Wales,348
"2020-10-11",nation,W92000004,Wales,327
"2020-10-10",nation,W92000004,Wales,292
"2020-10-09",nation,W92000004,Wales,291
"2020-10-08",nation,W92000004,Wales,284
"2020-10-07",nation,W92000004,Wales,277
"2020-10-06",nation,W92000004,Wales,261
"2020-10-05",nation,W92000004,Wales,249
"2020-10-04",nation,W92000004,Wales,230
"2020-10-03",nation,W92000004,Wales,220
"2020-10-02",nation,W92000004,Wales,218
"2020-10-01",nation,W92000004,Wales,214
